"Src NE Name","Sink NE Name","Link Type","Status","Capacity","Media Type","Protection","Service Class","Utilization","Route WKT"
"CSG-E00001","CSG-E00002","CSG-Ring","Down","10G","Fiber","Ring","Access","18%","LINESTRING(116.85179 40.038349, 116.8542194 40.0396394, 116.853614 40.036956)"
"CSG-E00002","CSG-E00003","CSG-Ring","Up","10G","Fiber","Ring","Access","25%","LINESTRING(116.853614 40.036956, 116.8520705 40.0347366, 116.854729 40.035227)"
"CSG-E00003","CSG-E00004","CSG-Ring","Up","10G","Fiber","Ring","Access","32%","LINESTRING(116.854729 40.035227, 116.8565632 40.0373563, 116.857225 40.034625)"
"CSG-E00004","CSG-E00005","CSG-Ring","Up","10G","Fiber","Ring","Access","39%","LINESTRING(116.857225 40.034625, 116.8568543 40.0319222, 116.859089 40.033487)"
"CSG-E00005","CSG-E00006","CSG-Ring","Up","10G","Fiber","Ring","Access","46%","LINESTRING(116.859089 40.033487, 116.8600215 40.0361434, 116.861653 40.033849)"
"CSG-E00006","CSG-E00007","CSG-Ring","Up","10G","Fiber","Ring","Access","53%","LINESTRING(116.861653 40.033849, 116.8611793 40.0310851, 116.863691 40.032332)"
"CSG-E00007","CSG-E00008","CSG-Ring","Up","10G","Fiber","Ring","Access","60%","LINESTRING(116.863691 40.032332, 116.8633321 40.0351526, 116.865891 40.033913)"
"CSG-E00008","CSG-E00009","CSG-Ring","Up","10G","Fiber","Ring","Access","67%","LINESTRING(116.865891 40.033913, 116.8663141 40.0310814, 116.868502 40.032928)"
"CSG-E00009","CSG-E00010","CSG-Ring","Up","10G","Fiber","Ring","Access","74%","LINESTRING(116.868502 40.032928, 116.8694523 40.0355686, 116.871032 40.033249)"
"CSG-E00010","CSG-E00011","CSG-Ring","Up","10G","Fiber","Ring","Access","81%","LINESTRING(116.871032 40.033249, 116.8737017 40.0342426, 116.871423 40.035952)"
"CSG-E00011","CSG-E00012","CSG-Ring","Up","10G","Fiber","Ring","Access","88%","LINESTRING(116.871423 40.035952, 116.8726579 40.0385489, 116.874257 40.036159)"
"CSG-E00012","CSG-E00013","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","19%","LINESTRING(116.874257 40.036159, 116.876567 40.0376354, 116.87393 40.038385)"
"CSG-E00013","CSG-E00014","CSG-Ring","Up","10G","Fiber","Ring","Access","26%","LINESTRING(116.87393 40.038385, 116.8748108 40.04121, 116.876988 40.039206)"
"CSG-E00014","CSG-E00015","CSG-Ring","Up","10G","Fiber","Ring","Access","33%","LINESTRING(116.876988 40.039206, 116.8779952 40.0418764, 116.8752 40.0413)"
"CSG-E00015","CSG-E00016","CSG-Ring","Up","10G","Fiber","Ring","Access","40%","LINESTRING(116.8752 40.0413, 116.8757341 40.0443546, 116.878488 40.042929)"
"ASG-096","CSG-E00001","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","47%","LINESTRING(116.834737 40.055699, 116.8401405 40.0439545, 116.85179 40.038349)"
"ASG-024","CSG-E00016","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","54%","LINESTRING(116.867957 39.980661, 116.8620143 40.0136906, 116.878488 40.042929)"
"CSG-E00017","CSG-E00018","CSG-Ring","Up","10G","Fiber","Ring","Access","61%","LINESTRING(116.513414 39.406686, 116.5163078 39.408043, 116.514338 39.41056)"
"CSG-E00018","CSG-E00019","CSG-Ring","Up","10G","Fiber","Ring","Access","68%","LINESTRING(116.514338 39.41056, 116.5157015 39.4133568, 116.51798 39.411238)"
"CSG-E00019","CSG-E00020","CSG-Ring","Up","10G","Fiber","Ring","Access","75%","LINESTRING(116.51798 39.411238, 116.5203503 39.4130359, 116.517735 39.414454)"
"CSG-E00020","CSG-E00021","CSG-Ring","Up","10G","Fiber","Ring","Access","82%","LINESTRING(116.517735 39.414454, 116.5189471 39.4174662, 116.521682 39.415716)"
"CSG-E00021","CSG-E00022","CSG-Ring","Up","10G","Fiber","Ring","Access","89%","LINESTRING(116.521682 39.415716, 116.5231901 39.41829, 116.520226 39.418628)"
"CSG-E00022","CSG-E00023","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","20%","LINESTRING(116.520226 39.418628, 116.5196857 39.4215883, 116.522629 39.420962)"
"CSG-E00023","CSG-E00024","CSG-Ring","Down","10G","Fiber","Ring","Access","27%","LINESTRING(116.522629 39.420962, 116.5249653 39.422557, 116.522333 39.423593)"
"CSG-E00024","CSG-E00025","CSG-Ring","Up","10G","Fiber","Ring","Access","34%","LINESTRING(116.522333 39.423593, 116.5194699 39.4234472, 116.520837 39.425967)"
"CSG-E00025","CSG-E00026","CSG-Ring","Up","10G","Fiber","Ring","Access","41%","LINESTRING(116.520837 39.425967, 116.5224448 39.4283124, 116.519602 39.428379)"
"CSG-E00026","CSG-E00027","CSG-Ring","Up","10G","Fiber","Ring","Access","48%","LINESTRING(116.519602 39.428379, 116.5167333 39.4288435, 116.518518 39.431137)"
"CSG-E00027","CSG-E00028","CSG-Ring","Up","10G","Fiber","Ring","Access","55%","LINESTRING(116.518518 39.431137, 116.5187604 39.4341089, 116.515946 39.433124)"
"CSG-E00028","CSG-E00029","CSG-Ring","Up","10G","Fiber","Ring","Access","62%","LINESTRING(116.515946 39.433124, 116.5138199 39.4307871, 116.512095 39.433434)"
"CSG-E00029","CSG-E00030","CSG-Ring","Up","10G","Fiber","Ring","Access","69%","LINESTRING(116.512095 39.433434, 116.5116481 39.4363849, 116.509128 39.434786)"
"CSG-E00030","CSG-E00031","CSG-Ring","Up","10G","Fiber","Ring","Access","76%","LINESTRING(116.509128 39.434786, 116.5062615 39.4335512, 116.505889 39.43665)"
"CSG-E00031","CSG-E00032","CSG-Ring","Up","10G","Fiber","Ring","Access","83%","LINESTRING(116.505889 39.43665, 116.5024296 39.4366919, 116.502541 39.433234)"
"ASG-116","CSG-E00017","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","90%","LINESTRING(116.491786 39.449652, 116.5103339 39.432062, 116.513414 39.406686)"
"ASG-022","CSG-E00032","ASG-CSG-Access","Maintenance","25G","Fiber","Dual-Homed","Backhaul","21%","LINESTRING(116.410528 39.428447, 116.4573962 39.4142782, 116.502541 39.433234)"
"CSG-E00033","CSG-E00034","CSG-Ring","Up","10G","Fiber","Ring","Access","28%","LINESTRING(116.759245 39.594682, 116.7639304 39.5965974, 116.767975 39.593554)"
"CSG-E00034","CSG-E00035","CSG-Ring","Up","10G","Fiber","Ring","Access","35%","LINESTRING(116.767975 39.593554, 116.7727242 39.5936922, 116.77472 39.598004)"
"CSG-E00035","CSG-E00036","CSG-Ring","Up","10G","Fiber","Ring","Access","42%","LINESTRING(116.77472 39.598004, 116.7730662 39.6018097, 116.776273 39.604443)"
"CSG-E00036","CSG-E00037","CSG-Ring","Up","10G","Fiber","Ring","Access","49%","LINESTRING(116.776273 39.604443, 116.7791702 39.6070046, 116.777119 39.610283)"
"CSG-E00037","CSG-E00038","CSG-Ring","Up","10G","Fiber","Ring","Access","56%","LINESTRING(116.777119 39.610283, 116.7733583 39.6116632, 116.773873 39.615636)"
"ASG-087","CSG-E00033","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","63%","LINESTRING(116.777103 39.628022, 116.7621728 39.6145664, 116.759245 39.594682)"
"ASG-019","CSG-E00038","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","70%","LINESTRING(116.776339 39.554609, 116.7641211 39.5846786, 116.773873 39.615636)"
"CSG-E00039","CSG-E00040","CSG-Ring","Up","10G","Fiber","Ring","Access","77%","LINESTRING(116.524726 39.430118, 116.527883 39.4280781, 116.530273 39.430979)"
"CSG-E00040","CSG-E00041","CSG-Ring","Up","10G","Fiber","Ring","Access","84%","LINESTRING(116.530273 39.430979, 116.5300469 39.4344517, 116.533525 39.434566)"
"CSG-E00041","CSG-E00042","CSG-Ring","Up","10G","Fiber","Ring","Access","91%","LINESTRING(116.533525 39.434566, 116.5362948 39.4362932, 116.534114 39.438722)"
"CSG-E00042","CSG-E00043","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","22%","LINESTRING(116.534114 39.438722, 116.5312909 39.4401559, 116.533377 39.442538)"
"CSG-E00043","CSG-E00044","CSG-Ring","Up","10G","Fiber","Ring","Access","29%","LINESTRING(116.533377 39.442538, 116.5357258 39.4449578, 116.533085 39.447055)"
"CSG-E00044","CSG-E00045","CSG-Ring","Down","10G","Fiber","Ring","Access","36%","LINESTRING(116.533085 39.447055, 116.529583 39.4459098, 116.528164 39.44931)"
"ASG-116","CSG-E00039","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","43%","LINESTRING(116.491786 39.449652, 116.5047399 39.4339558, 116.524726 39.430118)"
"ASG-116","CSG-E00045","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","50%","LINESTRING(116.491786 39.449652, 116.5100366 39.456029, 116.528164 39.44931)"
